Batch 0 - Dataset Indices: [2, 2], Sample Indices: [2173, 730]
Batch 19867 - Dataset Indices: [2, 2], Sample Indices: [2751, 8283]
Batch 19868 - Dataset Indices: [1, 1], Sample Indices: [18141, 838]
Batch 19869 - Dataset Indices: [2, 2], Sample Indices: [1961, 4346]
Batch 19870 - Dataset Indices: [0, 0], Sample Indices: [34054, 14460]
Batch 19871 - Dataset Indices: [1, 1], Sample Indices: [14043, 19270]
Batch 19872 - Dataset Indices: [1, 1], Sample Indices: [4885, 11184]
Batch 19873 - Dataset Indices: [2, 2], Sample Indices: [6461, 4110]
Batch 19874 - Dataset Indices: [0, 0], Sample Indices: [50560, 65384]
Batch 19875 - Dataset Indices: [2, 2], Sample Indices: [5202, 6133]
Batch 19876 - Dataset Indices: [2, 2], Sample Indices: [4211, 8827]
Batch 19877 - Dataset Indices: [2, 2], Sample Indices: [6753, 8749]
Batch 19878 - Dataset Indices: [1, 1], Sample Indices: [20158, 17894]
Batch 19879 - Dataset Indices: [2, 2], Sample Indices: [7467, 659]
Batch 19880 - Dataset Indices: [2, 2], Sample Indices: [3038, 6463]
Batch 19881 - Dataset Indices: [0, 0], Sample Indices: [1824, 44927]
Batch 19882 - Dataset Indices: [0, 0], Sample Indices: [59440, 8687]
Batch 19883 - Dataset Indices: [1, 1], Sample Indices: [9500, 1862]
Batch 19884 - Dataset Indices: [2, 2], Sample Indices: [8157, 585]
Batch 19885 - Dataset Indices: [0, 0], Sample Indices: [61232, 42017]
Batch 19886 - Dataset Indices: [1, 1], Sample Indices: [15354, 7656]
Batch 19887 - Dataset Indices: [2, 2], Sample Indices: [84, 415]
Batch 19888 - Dataset Indices: [2, 2], Sample Indices: [4455, 2845]
Batch 19889 - Dataset Indices: [1, 1], Sample Indices: [8744, 1169]
Batch 19890 - Dataset Indices: [0, 0], Sample Indices: [1567, 29101]
Batch 19891 - Dataset Indices: [1, 1], Sample Indices: [8673, 8033]
Batch 19892 - Dataset Indices: [0, 0], Sample Indices: [18496, 25912]
Batch 19893 - Dataset Indices: [2, 2], Sample Indices: [2268, 5384]
Batch 19894 - Dataset Indices: [0, 0], Sample Indices: [5706, 53025]
Batch 19895 - Dataset Indices: [1, 1], Sample Indices: [11835, 4299]
Batch 19896 - Dataset Indices: [0, 0], Sample Indices: [62725, 31350]
Batch 19897 - Dataset Indices: [0, 0], Sample Indices: [21305, 73043]
Batch 19898 - Dataset Indices: [2, 2], Sample Indices: [3248, 2214]
Batch 19899 - Dataset Indices: [1, 1], Sample Indices: [11424, 9049]
Batch 19900 - Dataset Indices: [2, 2], Sample Indices: [27, 4589]
Batch 19901 - Dataset Indices: [0, 0], Sample Indices: [70776, 39000]
Batch 19902 - Dataset Indices: [2, 2], Sample Indices: [7839, 2041]
Batch 19903 - Dataset Indices: [2, 2], Sample Indices: [6715, 5491]
Batch 19904 - Dataset Indices: [0, 0], Sample Indices: [53313, 13251]
Batch 19905 - Dataset Indices: [1, 1], Sample Indices: [20156, 12190]
Batch 19906 - Dataset Indices: [0, 0], Sample Indices: [19722, 16764]
Batch 19907 - Dataset Indices: [0, 0], Sample Indices: [65602, 11592]
Batch 19908 - Dataset Indices: [2, 2], Sample Indices: [5067, 2712]
Batch 19909 - Dataset Indices: [1, 1], Sample Indices: [14812, 3139]
Batch 19910 - Dataset Indices: [1, 1], Sample Indices: [37, 16878]
Batch 19911 - Dataset Indices: [0, 0], Sample Indices: [39668, 61698]
Batch 19912 - Dataset Indices: [1, 1], Sample Indices: [19421, 20120]
Batch 19913 - Dataset Indices: [1, 1], Sample Indices: [3611, 13520]
Batch 19914 - Dataset Indices: [1, 1], Sample Indices: [7668, 9413]
Batch 19915 - Dataset Indices: [2, 2], Sample Indices: [6675, 1806]
Batch 19916 - Dataset Indices: [0, 0], Sample Indices: [55768, 22041]
Batch 19917 - Dataset Indices: [2, 2], Sample Indices: [2932, 2079]
Batch 19918 - Dataset Indices: [0, 0], Sample Indices: [40140, 60464]
Batch 19919 - Dataset Indices: [1, 1], Sample Indices: [18059, 8115]
Batch 19920 - Dataset Indices: [2, 2], Sample Indices: [4929, 5211]
Batch 19921 - Dataset Indices: [0, 0], Sample Indices: [68805, 71809]
Batch 19922 - Dataset Indices: [1, 1], Sample Indices: [478, 1001]
Batch 19923 - Dataset Indices: [2, 2], Sample Indices: [4964, 4642]
Batch 19924 - Dataset Indices: [2, 2], Sample Indices: [5204, 6273]
Batch 19925 - Dataset Indices: [2, 2], Sample Indices: [7002, 3453]
Batch 19926 - Dataset Indices: [0, 0], Sample Indices: [4379, 61233]
Batch 19927 - Dataset Indices: [1, 1], Sample Indices: [18008, 12971]
Batch 19928 - Dataset Indices: [2, 2], Sample Indices: [3052, 3982]
Batch 19929 - Dataset Indices: [2, 2], Sample Indices: [3093, 7686]
Batch 19930 - Dataset Indices: [1, 1], Sample Indices: [10904, 11309]
Batch 19931 - Dataset Indices: [2, 2], Sample Indices: [508, 4959]
Batch 19932 - Dataset Indices: [2, 2], Sample Indices: [522, 2759]
Batch 19933 - Dataset Indices: [0, 0], Sample Indices: [16499, 40615]
Batch 19934 - Dataset Indices: [1, 1], Sample Indices: [4312, 13118]
Batch 19935 - Dataset Indices: [0, 0], Sample Indices: [49742, 52568]
Batch 19936 - Dataset Indices: [2, 2], Sample Indices: [6179, 5369]
Batch 19937 - Dataset Indices: [2, 2], Sample Indices: [1391, 1001]
Batch 19938 - Dataset Indices: [2, 2], Sample Indices: [692, 625]
Batch 19939 - Dataset Indices: [2, 2], Sample Indices: [7403, 6503]
Batch 19940 - Dataset Indices: [1, 1], Sample Indices: [6857, 11635]
Batch 19941 - Dataset Indices: [1, 1], Sample Indices: [14937, 17701]
Batch 19942 - Dataset Indices: [2, 2], Sample Indices: [1229, 1965]
Batch 19943 - Dataset Indices: [0, 0], Sample Indices: [52256, 15334]
Batch 19944 - Dataset Indices: [2, 2], Sample Indices: [953, 8059]
Batch 19945 - Dataset Indices: [1, 1], Sample Indices: [20340, 20145]
Batch 19946 - Dataset Indices: [1, 1], Sample Indices: [700, 8522]
Batch 19947 - Dataset Indices: [2, 2], Sample Indices: [260, 1921]
Batch 19948 - Dataset Indices: [1, 1], Sample Indices: [3522, 2328]
Batch 19949 - Dataset Indices: [2, 2], Sample Indices: [8100, 2083]
Batch 19950 - Dataset Indices: [2, 2], Sample Indices: [3991, 1720]
Batch 19951 - Dataset Indices: [1, 1], Sample Indices: [10163, 17632]
Batch 19952 - Dataset Indices: [0, 0], Sample Indices: [6881, 47501]
Batch 19953 - Dataset Indices: [2, 2], Sample Indices: [2733, 2326]
Batch 19954 - Dataset Indices: [1, 1], Sample Indices: [1079, 13497]
Batch 19955 - Dataset Indices: [1, 1], Sample Indices: [11752, 2836]
Batch 19956 - Dataset Indices: [0, 0], Sample Indices: [34998, 44829]
Batch 19957 - Dataset Indices: [1, 1], Sample Indices: [1353, 3837]
Batch 19958 - Dataset Indices: [2, 2], Sample Indices: [2908, 6483]
Batch 19959 - Dataset Indices: [1, 1], Sample Indices: [12812, 11485]
Batch 19960 - Dataset Indices: [2, 2], Sample Indices: [4606, 1733]
Batch 19961 - Dataset Indices: [1, 1], Sample Indices: [13195, 10355]
Batch 19962 - Dataset Indices: [1, 1], Sample Indices: [18387, 15100]
Batch 19963 - Dataset Indices: [2, 2], Sample Indices: [2996, 4231]
Batch 19964 - Dataset Indices: [0, 0], Sample Indices: [66113, 15851]
Batch 19965 - Dataset Indices: [2, 2], Sample Indices: [2518, 6295]
Batch 19966 - Dataset Indices: [2, 2], Sample Indices: [2212, 3397]
Batch 19967 - Dataset Indices: [1, 1], Sample Indices: [19467, 3585]
Batch 19968 - Dataset Indices: [0, 0], Sample Indices: [40990, 34357]
Batch 19969 - Dataset Indices: [1, 1], Sample Indices: [20439, 2267]
Batch 19970 - Dataset Indices: [1, 1], Sample Indices: [15152, 1534]
Batch 19971 - Dataset Indices: [0, 0], Sample Indices: [33344, 62509]
Batch 19972 - Dataset Indices: [0, 0], Sample Indices: [19088, 58292]
Batch 19973 - Dataset Indices: [0, 0], Sample Indices: [9062, 11357]
Batch 19974 - Dataset Indices: [0, 0], Sample Indices: [26098, 64589]
Batch 19975 - Dataset Indices: [1, 1], Sample Indices: [15335, 14227]
Batch 19976 - Dataset Indices: [1, 1], Sample Indices: [12932, 2541]
Batch 19977 - Dataset Indices: [0, 0], Sample Indices: [38265, 44323]
Batch 19978 - Dataset Indices: [1, 1], Sample Indices: [9742, 11045]
Batch 19979 - Dataset Indices: [0, 0], Sample Indices: [66305, 57914]
Batch 19980 - Dataset Indices: [0, 0], Sample Indices: [40052, 50549]
Batch 19981 - Dataset Indices: [2, 2], Sample Indices: [1946, 3392]
Batch 19982 - Dataset Indices: [0, 0], Sample Indices: [41278, 54145]
Batch 19983 - Dataset Indices: [1, 1], Sample Indices: [16778, 1894]
Batch 19984 - Dataset Indices: [1, 1], Sample Indices: [17922, 13209]
Batch 19985 - Dataset Indices: [0, 0], Sample Indices: [57319, 26889]
Batch 19986 - Dataset Indices: [0, 0], Sample Indices: [55636, 6147]
Batch 19987 - Dataset Indices: [1, 1], Sample Indices: [17568, 11246]
Batch 19988 - Dataset Indices: [1, 1], Sample Indices: [14936, 10574]
Batch 19989 - Dataset Indices: [2, 2], Sample Indices: [3929, 1951]
Batch 19990 - Dataset Indices: [2, 2], Sample Indices: [944, 6854]
Batch 19991 - Dataset Indices: [1, 1], Sample Indices: [17189, 227]
Batch 19992 - Dataset Indices: [0, 0], Sample Indices: [21541, 37446]
Batch 19993 - Dataset Indices: [0, 0], Sample Indices: [43600, 68384]
Batch 19994 - Dataset Indices: [0, 0], Sample Indices: [60884, 52033]
Batch 19995 - Dataset Indices: [0, 0], Sample Indices: [38017, 6652]
Batch 19996 - Dataset Indices: [2, 2], Sample Indices: [3982, 5819]
Batch 19997 - Dataset Indices: [1, 1], Sample Indices: [12834, 8643]
Batch 19998 - Dataset Indices: [1, 1], Sample Indices: [1464, 147]
Batch 19999 - Dataset Indices: [1, 1], Sample Indices: [3432, 5696]
Batch 20000 - Dataset Indices: [2, 2], Sample Indices: [3435, 5146]
Batch 20001 - Dataset Indices: [1, 1], Sample Indices: [18591, 3996]
Batch 20002 - Dataset Indices: [0, 0], Sample Indices: [1575, 57230]
Batch 20003 - Dataset Indices: [0, 0], Sample Indices: [42932, 3834]
Batch 20004 - Dataset Indices: [0, 0], Sample Indices: [25079, 22847]
Batch 20005 - Dataset Indices: [0, 0], Sample Indices: [29806, 47448]
Batch 20006 - Dataset Indices: [1, 1], Sample Indices: [9335, 18851]
Batch 20007 - Dataset Indices: [2, 2], Sample Indices: [358, 62]
Batch 20008 - Dataset Indices: [0, 0], Sample Indices: [47173, 47098]
Batch 20009 - Dataset Indices: [1, 1], Sample Indices: [17130, 1052]
Batch 20010 - Dataset Indices: [1, 1], Sample Indices: [17479, 17978]
Batch 20011 - Dataset Indices: [0, 0], Sample Indices: [12242, 8238]
Batch 20012 - Dataset Indices: [0, 0], Sample Indices: [54491, 45222]
Batch 20013 - Dataset Indices: [1, 1], Sample Indices: [13691, 4743]
Batch 20014 - Dataset Indices: [0, 0], Sample Indices: [19203, 40404]
Batch 20015 - Dataset Indices: [2, 2], Sample Indices: [444, 8096]
Batch 20016 - Dataset Indices: [0, 0], Sample Indices: [42914, 42885]
Batch 20017 - Dataset Indices: [1, 1], Sample Indices: [1961, 13458]
Batch 20018 - Dataset Indices: [0, 0], Sample Indices: [52712, 14281]
Batch 20019 - Dataset Indices: [2, 2], Sample Indices: [1183, 5520]
Batch 20020 - Dataset Indices: [2, 2], Sample Indices: [3182, 4096]
Batch 20021 - Dataset Indices: [1, 1], Sample Indices: [9634, 19679]
Batch 20022 - Dataset Indices: [2, 2], Sample Indices: [4633, 8805]
Batch 20023 - Dataset Indices: [2, 2], Sample Indices: [6111, 380]
Batch 20024 - Dataset Indices: [2, 2], Sample Indices: [5518, 4277]
Batch 20025 - Dataset Indices: [0, 0], Sample Indices: [16752, 39149]
Batch 20026 - Dataset Indices: [2, 2], Sample Indices: [7349, 7700]
Batch 20027 - Dataset Indices: [0, 0], Sample Indices: [38760, 26720]
Batch 20028 - Dataset Indices: [2, 2], Sample Indices: [704, 2568]
Batch 20029 - Dataset Indices: [1, 1], Sample Indices: [17185, 1667]
Batch 20030 - Dataset Indices: [1, 1], Sample Indices: [17374, 13217]
Batch 20031 - Dataset Indices: [1, 1], Sample Indices: [4477, 1799]
Batch 20032 - Dataset Indices: [1, 1], Sample Indices: [8047, 7607]
Batch 20033 - Dataset Indices: [1, 1], Sample Indices: [17858, 19131]
Batch 20034 - Dataset Indices: [0, 0], Sample Indices: [46488, 31908]
Batch 20035 - Dataset Indices: [0, 0], Sample Indices: [4880, 68917]
Batch 20036 - Dataset Indices: [0, 0], Sample Indices: [5611, 39004]
Batch 20037 - Dataset Indices: [1, 1], Sample Indices: [12868, 16413]
Batch 20038 - Dataset Indices: [2, 2], Sample Indices: [1422, 8051]
Batch 20039 - Dataset Indices: [2, 2], Sample Indices: [8781, 5528]
Batch 20040 - Dataset Indices: [0, 0], Sample Indices: [13328, 17873]
Batch 20041 - Dataset Indices: [2, 2], Sample Indices: [7078, 1686]
Batch 20042 - Dataset Indices: [1, 1], Sample Indices: [14903, 6893]
Batch 20043 - Dataset Indices: [0, 0], Sample Indices: [36326, 35440]
Batch 20044 - Dataset Indices: [2, 2], Sample Indices: [6393, 6558]
Batch 20045 - Dataset Indices: [1, 1], Sample Indices: [3590, 7035]
Batch 20046 - Dataset Indices: [2, 2], Sample Indices: [223, 3574]
Batch 20047 - Dataset Indices: [0, 0], Sample Indices: [27263, 18081]
Batch 20048 - Dataset Indices: [1, 1], Sample Indices: [6248, 8005]
Batch 20049 - Dataset Indices: [0, 0], Sample Indices: [24488, 53179]
Batch 20050 - Dataset Indices: [0, 0], Sample Indices: [50938, 5833]
Batch 20051 - Dataset Indices: [1, 1], Sample Indices: [15442, 410]
Batch 20052 - Dataset Indices: [1, 1], Sample Indices: [3600, 6932]
Batch 20053 - Dataset Indices: [0, 0], Sample Indices: [29354, 28788]
Batch 20054 - Dataset Indices: [2, 2], Sample Indices: [5209, 5901]
Batch 20055 - Dataset Indices: [2, 2], Sample Indices: [7794, 7200]
Batch 20056 - Dataset Indices: [1, 1], Sample Indices: [3702, 14203]
Batch 20057 - Dataset Indices: [2, 2], Sample Indices: [5554, 8036]
Batch 20058 - Dataset Indices: [0, 0], Sample Indices: [66751, 43401]
Batch 20059 - Dataset Indices: [1, 1], Sample Indices: [7269, 18567]
Batch 20060 - Dataset Indices: [2, 2], Sample Indices: [2688, 4310]
Batch 20061 - Dataset Indices: [0, 0], Sample Indices: [64231, 59778]
Batch 20062 - Dataset Indices: [2, 2], Sample Indices: [892, 1867]
Batch 20063 - Dataset Indices: [0, 0], Sample Indices: [23999, 3921]
Batch 20064 - Dataset Indices: [1, 1], Sample Indices: [5444, 20230]
Batch 20065 - Dataset Indices: [2, 2], Sample Indices: [965, 856]
Batch 20066 - Dataset Indices: [0, 0], Sample Indices: [42529, 26542]
Batch 20067 - Dataset Indices: [1, 1], Sample Indices: [15514, 3658]
Batch 20068 - Dataset Indices: [0, 0], Sample Indices: [44068, 15902]
Batch 20069 - Dataset Indices: [2, 2], Sample Indices: [1202, 2921]
Batch 20070 - Dataset Indices: [0, 0], Sample Indices: [25495, 22491]
Batch 20071 - Dataset Indices: [1, 1], Sample Indices: [3300, 12469]
Batch 20072 - Dataset Indices: [0, 0], Sample Indices: [13311, 15672]
Batch 20073 - Dataset Indices: [1, 1], Sample Indices: [13520, 16529]
Batch 20074 - Dataset Indices: [0, 0], Sample Indices: [13397, 33869]
Batch 20075 - Dataset Indices: [2, 2], Sample Indices: [937, 7132]
Batch 20076 - Dataset Indices: [0, 0], Sample Indices: [54102, 40564]
Batch 20077 - Dataset Indices: [1, 1], Sample Indices: [313, 11929]
Batch 20078 - Dataset Indices: [1, 1], Sample Indices: [14238, 18959]
Batch 20079 - Dataset Indices: [2, 2], Sample Indices: [950, 183]
Batch 20080 - Dataset Indices: [1, 1], Sample Indices: [15929, 18872]
Batch 20081 - Dataset Indices: [0, 0], Sample Indices: [28685, 1043]
Batch 20082 - Dataset Indices: [0, 0], Sample Indices: [19776, 26177]
Batch 20083 - Dataset Indices: [0, 0], Sample Indices: [27042, 45226]
Batch 20084 - Dataset Indices: [2, 2], Sample Indices: [1279, 7762]
Batch 20085 - Dataset Indices: [2, 2], Sample Indices: [3431, 1578]
Batch 20086 - Dataset Indices: [1, 1], Sample Indices: [16335, 19031]
Batch 20087 - Dataset Indices: [0, 0], Sample Indices: [11206, 55377]
Batch 20088 - Dataset Indices: [0, 0], Sample Indices: [61237, 69577]
Batch 20089 - Dataset Indices: [0, 0], Sample Indices: [69521, 5308]
Batch 20090 - Dataset Indices: [1, 1], Sample Indices: [9013, 13653]
Batch 20091 - Dataset Indices: [1, 1], Sample Indices: [17621, 14976]
Batch 20092 - Dataset Indices: [1, 1], Sample Indices: [14327, 20410]
Batch 20093 - Dataset Indices: [2, 2], Sample Indices: [687, 2969]
Batch 20094 - Dataset Indices: [0, 0], Sample Indices: [12527, 66829]
Batch 20095 - Dataset Indices: [2, 2], Sample Indices: [8077, 841]
Batch 20096 - Dataset Indices: [0, 0], Sample Indices: [2444, 64264]
Batch 20097 - Dataset Indices: [0, 0], Sample Indices: [43407, 20035]
Batch 20098 - Dataset Indices: [1, 1], Sample Indices: [14740, 7880]
Batch 20099 - Dataset Indices: [2, 2], Sample Indices: [2347, 2925]
Batch 20100 - Dataset Indices: [0, 0], Sample Indices: [25288, 48073]
Batch 20101 - Dataset Indices: [0, 0], Sample Indices: [65243, 1487]
Batch 20102 - Dataset Indices: [0, 0], Sample Indices: [49660, 68882]
Batch 20103 - Dataset Indices: [2, 2], Sample Indices: [6364, 1263]
Batch 20104 - Dataset Indices: [0, 0], Sample Indices: [34898, 53832]
Batch 20105 - Dataset Indices: [0, 0], Sample Indices: [38994, 4373]
Batch 20106 - Dataset Indices: [0, 0], Sample Indices: [54000, 7491]
Batch 20107 - Dataset Indices: [2, 2], Sample Indices: [1838, 4705]
Batch 20108 - Dataset Indices: [1, 1], Sample Indices: [10325, 13823]
Batch 20109 - Dataset Indices: [2, 2], Sample Indices: [4761, 8015]
Batch 20110 - Dataset Indices: [2, 2], Sample Indices: [8745, 7055]
Batch 20111 - Dataset Indices: [2, 2], Sample Indices: [7796, 7524]
Batch 20112 - Dataset Indices: [2, 2], Sample Indices: [5388, 6734]
Batch 20113 - Dataset Indices: [2, 2], Sample Indices: [5102, 2457]
Batch 20114 - Dataset Indices: [2, 2], Sample Indices: [4876, 312]
Batch 20115 - Dataset Indices: [1, 1], Sample Indices: [14624, 3706]
Batch 20116 - Dataset Indices: [0, 0], Sample Indices: [55547, 72510]
Batch 20117 - Dataset Indices: [2, 2], Sample Indices: [2980, 3939]
Batch 20118 - Dataset Indices: [2, 2], Sample Indices: [8845, 8620]
Batch 20119 - Dataset Indices: [2, 2], Sample Indices: [3375, 3265]
Batch 20120 - Dataset Indices: [1, 1], Sample Indices: [13554, 4268]
Batch 20121 - Dataset Indices: [2, 2], Sample Indices: [5466, 6922]
Batch 20122 - Dataset Indices: [0, 0], Sample Indices: [37649, 65590]
Batch 20123 - Dataset Indices: [0, 0], Sample Indices: [68038, 58880]
Batch 20124 - Dataset Indices: [1, 1], Sample Indices: [969, 16466]
Batch 20125 - Dataset Indices: [1, 1], Sample Indices: [16909, 15533]
Batch 20126 - Dataset Indices: [2, 2], Sample Indices: [6495, 5083]
Batch 20127 - Dataset Indices: [2, 2], Sample Indices: [4540, 2885]
Batch 20128 - Dataset Indices: [0, 0], Sample Indices: [8674, 59690]
Batch 20129 - Dataset Indices: [1, 1], Sample Indices: [8183, 5174]
Batch 20130 - Dataset Indices: [0, 0], Sample Indices: [8325, 52482]
Batch 20131 - Dataset Indices: [0, 0], Sample Indices: [71544, 21407]
Batch 20132 - Dataset Indices: [2, 2], Sample Indices: [875, 7665]
Batch 20133 - Dataset Indices: [0, 0], Sample Indices: [39132, 37230]
Batch 20134 - Dataset Indices: [0, 0], Sample Indices: [6318, 43353]
Batch 20135 - Dataset Indices: [2, 2], Sample Indices: [5378, 8704]
Batch 20136 - Dataset Indices: [1, 1], Sample Indices: [4245, 17741]
Batch 20137 - Dataset Indices: [0, 0], Sample Indices: [12978, 36557]
Batch 20138 - Dataset Indices: [2, 2], Sample Indices: [6583, 1099]
Batch 20139 - Dataset Indices: [2, 2], Sample Indices: [2901, 5885]
Batch 20140 - Dataset Indices: [2, 2], Sample Indices: [7121, 3371]
Batch 20141 - Dataset Indices: [0, 0], Sample Indices: [70951, 8293]
Batch 20142 - Dataset Indices: [0, 0], Sample Indices: [47429, 24041]
Batch 20143 - Dataset Indices: [1, 1], Sample Indices: [6892, 8274]
Batch 20144 - Dataset Indices: [2, 2], Sample Indices: [370, 7805]
Batch 20145 - Dataset Indices: [0, 0], Sample Indices: [13730, 52254]
Batch 20146 - Dataset Indices: [1, 1], Sample Indices: [10876, 10007]
Batch 20147 - Dataset Indices: [0, 0], Sample Indices: [6385, 46699]
Batch 20148 - Dataset Indices: [0, 0], Sample Indices: [54952, 32328]
Batch 20149 - Dataset Indices: [2, 2], Sample Indices: [7031, 4346]
Batch 20150 - Dataset Indices: [0, 0], Sample Indices: [72027, 14897]
Batch 20151 - Dataset Indices: [1, 1], Sample Indices: [9241, 12576]
Batch 20152 - Dataset Indices: [0, 0], Sample Indices: [55403, 36902]
Batch 20153 - Dataset Indices: [2, 2], Sample Indices: [5417, 4960]
Batch 20154 - Dataset Indices: [2, 2], Sample Indices: [4061, 2151]
Batch 20155 - Dataset Indices: [1, 1], Sample Indices: [12442, 15841]
Batch 20156 - Dataset Indices: [2, 2], Sample Indices: [7489, 7739]
Batch 20157 - Dataset Indices: [1, 1], Sample Indices: [10804, 7772]
Batch 20158 - Dataset Indices: [1, 1], Sample Indices: [2800, 12305]
Batch 20159 - Dataset Indices: [1, 1], Sample Indices: [13124, 13577]
Batch 20160 - Dataset Indices: [1, 1], Sample Indices: [17284, 17817]
Batch 20161 - Dataset Indices: [1, 1], Sample Indices: [12246, 8276]
Batch 20162 - Dataset Indices: [0, 0], Sample Indices: [32154, 66669]
Batch 20163 - Dataset Indices: [1, 1], Sample Indices: [19910, 19706]
Batch 20164 - Dataset Indices: [0, 0], Sample Indices: [66123, 67040]
Batch 20165 - Dataset Indices: [0, 0], Sample Indices: [14376, 51311]
Batch 20166 - Dataset Indices: [2, 2], Sample Indices: [4754, 3590]
Batch 20167 - Dataset Indices: [1, 1], Sample Indices: [2657, 18123]
Batch 20168 - Dataset Indices: [2, 2], Sample Indices: [5316, 7879]
Batch 20169 - Dataset Indices: [1, 1], Sample Indices: [18954, 20271]
Batch 20170 - Dataset Indices: [2, 2], Sample Indices: [7454, 532]
Batch 20171 - Dataset Indices: [0, 0], Sample Indices: [45566, 30871]
Batch 20172 - Dataset Indices: [1, 1], Sample Indices: [6545, 3483]
Batch 20173 - Dataset Indices: [0, 0], Sample Indices: [3115, 46164]
Batch 20174 - Dataset Indices: [1, 1], Sample Indices: [10361, 15679]
Batch 20175 - Dataset Indices: [0, 0], Sample Indices: [791, 58934]
Batch 20176 - Dataset Indices: [0, 0], Sample Indices: [24482, 47230]
Batch 20177 - Dataset Indices: [0, 0], Sample Indices: [17438, 16878]
Batch 20178 - Dataset Indices: [0, 0], Sample Indices: [56574, 61682]
Batch 20179 - Dataset Indices: [2, 2], Sample Indices: [8205, 2096]
Batch 20180 - Dataset Indices: [0, 0], Sample Indices: [62757, 31422]
Batch 20181 - Dataset Indices: [1, 1], Sample Indices: [19362, 13925]
Batch 20182 - Dataset Indices: [1, 1], Sample Indices: [13320, 5788]
Batch 20183 - Dataset Indices: [0, 0], Sample Indices: [12559, 42289]
Batch 20184 - Dataset Indices: [1, 1], Sample Indices: [17861, 12844]
Batch 20185 - Dataset Indices: [2, 2], Sample Indices: [4767, 5203]
Batch 20186 - Dataset Indices: [2, 2], Sample Indices: [6870, 4275]
Batch 20187 - Dataset Indices: [0, 0], Sample Indices: [16879, 53587]
Batch 20188 - Dataset Indices: [2, 2], Sample Indices: [5, 637]
Batch 20189 - Dataset Indices: [0, 0], Sample Indices: [5645, 22272]
Batch 20190 - Dataset Indices: [1, 1], Sample Indices: [1670, 11700]
Batch 20191 - Dataset Indices: [2, 2], Sample Indices: [4494, 946]
Batch 20192 - Dataset Indices: [0, 0], Sample Indices: [46706, 37766]
Batch 20193 - Dataset Indices: [2, 2], Sample Indices: [7139, 3270]
Batch 20194 - Dataset Indices: [0, 0], Sample Indices: [63536, 35604]
Batch 20195 - Dataset Indices: [2, 2], Sample Indices: [4697, 7880]
Batch 20196 - Dataset Indices: [1, 1], Sample Indices: [17982, 15586]
Batch 20197 - Dataset Indices: [1, 1], Sample Indices: [452, 15015]
Batch 20198 - Dataset Indices: [1, 1], Sample Indices: [1697, 12945]
Batch 20199 - Dataset Indices: [1, 1], Sample Indices: [5789, 14148]
Batch 20200 - Dataset Indices: [1, 1], Sample Indices: [15374, 649]
Batch 20201 - Dataset Indices: [2, 2], Sample Indices: [153, 6668]
Batch 20202 - Dataset Indices: [1, 1], Sample Indices: [10939, 20001]
Batch 20203 - Dataset Indices: [1, 1], Sample Indices: [19679, 4986]
Batch 20204 - Dataset Indices: [2, 2], Sample Indices: [726, 3420]
Batch 20205 - Dataset Indices: [2, 2], Sample Indices: [7648, 992]
Batch 20206 - Dataset Indices: [1, 1], Sample Indices: [6358, 13285]
Batch 20207 - Dataset Indices: [2, 2], Sample Indices: [345, 4788]
Batch 20208 - Dataset Indices: [2, 2], Sample Indices: [118, 2260]
Batch 20209 - Dataset Indices: [0, 0], Sample Indices: [29536, 55851]
Batch 20210 - Dataset Indices: [0, 0], Sample Indices: [46298, 26211]
Batch 20211 - Dataset Indices: [0, 0], Sample Indices: [43302, 41856]
Batch 20212 - Dataset Indices: [1, 1], Sample Indices: [10962, 9316]
Batch 20213 - Dataset Indices: [2, 2], Sample Indices: [6749, 7545]
Batch 20214 - Dataset Indices: [0, 0], Sample Indices: [58364, 8398]
Batch 20215 - Dataset Indices: [0, 0], Sample Indices: [13739, 51653]
Batch 20216 - Dataset Indices: [0, 0], Sample Indices: [61542, 40793]
Batch 20217 - Dataset Indices: [2, 2], Sample Indices: [1403, 7184]
Batch 20218 - Dataset Indices: [0, 0], Sample Indices: [63619, 22665]
Batch 20219 - Dataset Indices: [1, 1], Sample Indices: [15509, 6417]
Batch 20220 - Dataset Indices: [0, 0], Sample Indices: [41948, 41481]
Batch 20221 - Dataset Indices: [1, 1], Sample Indices: [11711, 9310]
Batch 20222 - Dataset Indices: [0, 0], Sample Indices: [20216, 70078]
Batch 20223 - Dataset Indices: [1, 1], Sample Indices: [7437, 14837]
Batch 20224 - Dataset Indices: [2, 2], Sample Indices: [4336, 5933]
Batch 20225 - Dataset Indices: [0, 0], Sample Indices: [16011, 47689]
Batch 20226 - Dataset Indices: [0, 0], Sample Indices: [68436, 23144]
Batch 20227 - Dataset Indices: [2, 2], Sample Indices: [6372, 4021]
Batch 20228 - Dataset Indices: [1, 1], Sample Indices: [10578, 16517]
Batch 20229 - Dataset Indices: [2, 2], Sample Indices: [109, 5392]
Batch 20230 - Dataset Indices: [0, 0], Sample Indices: [52189, 25231]
Batch 20231 - Dataset Indices: [1, 1], Sample Indices: [3075, 7460]
Batch 20232 - Dataset Indices: [1, 1], Sample Indices: [18689, 805]
Batch 20233 - Dataset Indices: [1, 1], Sample Indices: [10221, 8049]
Batch 20234 - Dataset Indices: [1, 1], Sample Indices: [4162, 19056]
